videoID,dataset,fold
0006 - Heico - Prokto - 7.avi,heico,0
0008 - Heico - Prokto - 9.avi,heico,0
0009 - Heico - Prokto - 10.avi,heico,0
0017 - Heico - Rektum - 8.avi,heico,0
0019 - Heico - Rektum - 10.avi,heico,0
0027 - Heico - Sigma - 8.avi,heico,0
0001 - Heico - Prokto - 2.avi,heico,1
0005 - Heico - Prokto - 6.avi,heico,1
0014 - Heico - Rektum - 5.avi,heico,1
0023 - Heico - Sigma - 4.avi,heico,1
0025 - Heico - Sigma - 6.avi,heico,1
0028 - Heico - Sigma - 9.avi,heico,1
0000 - Heico - Prokto - 1.avi,heico,2
0004 - Heico - Prokto - 5.avi,heico,2
0010 - Heico - Rektum - 1.avi,heico,2
0012 - Heico - Rektum - 3.avi,heico,2
0013 - Heico - Rektum - 4.avi,heico,2
0029 - Heico - Sigma - 10.avi,heico,2
0003 - Heico - Prokto - 4.avi,heico,3
0011 - Heico - Rektum - 2.avi,heico,3
0018 - Heico - Rektum - 9.avi,heico,3
0021 - Heico - Sigma - 2.avi,heico,3
0024 - Heico - Sigma - 5.avi,heico,3
0026 - Heico - Sigma - 7.avi,heico,3
0002 - Heico - Prokto - 3.avi,heico,4
0007 - Heico - Prokto - 8.avi,heico,4
0015 - Heico - Rektum - 6.avi,heico,4
0016 - Heico - Rektum - 7.avi,heico,4
0020 - Heico - Sigma - 1.avi,heico,4
0022 - Heico - Sigma - 3.avi,heico,4
0004 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0006 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0008 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0009 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0010 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0011 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0014 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0026 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0027 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0028 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0033 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0034 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0070 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0071 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0072 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0074 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0096 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0100 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0106 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0146 - Laparoscopic Cholecystectomy.mp4,lapchole,0
0001 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0019 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0024 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0030 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0032 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0042 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0052 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0060 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0061 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0076 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0078 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0082 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0083 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0107 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0128 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0137 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0147 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0169 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0180 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0184 - Laparoscopic Cholecystectomy.mp4,lapchole,1
0013 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0017 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0018 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0020 - Laparoscopic Cholecystectomy.mp4,lapchole,2
0023 - Laparoscopic Cholecystectomy.mp4,lapchole,2
